userId,n_ratings
1,141
2,52
3,147
4,27
5,33
6,26
7,44
8,31
9,58
10,660
11,20
12,23
13,65
14,29
15,82
16,295
17,86
18,138
19,47
20,140
21,35
22,63
23,63
24,45
25,87
26,33
27,62
28,2842
29,151
30,21
31,67
32,44
33,265
34,123
35,503
36,125
37,235
38,29
39,57
40,101
41,37
42,48
43,150
44,102
45,25
46,151
47,58
48,106
49,37
50,118
51,48
52,80
53,40
54,45
55,21
56,97
57,40
58,35
59,417
60,43
61,52
62,178
63,95
64,243
65,552
66,165
67,149
68,110
69,43
70,662
71,29
72,84
73,58
74,175
75,62
76,459
77,67
78,274
79,50
80,343
81,100
82,28
83,150
84,289
85,107
86,258
87,395
88,231
89,61
90,75
91,83
92,74
93,175
94,246
95,39
96,120
97,47
98,29
99,25
100,249
101,93
102,47
103,232
104,48
105,46
106,111
107,225
108,30
109,721
110,101
111,138
112,24
113,29
114,144
115,483
116,78
117,58
118,184
119,83
120,325
121,77
122,154
123,20
124,122
125,33
126,74
127,226
128,515
129,28
130,147
131,135
132,21
133,36
134,51
135,128
136,52
137,179
138,438
139,57
140,82
141,159
142,26
143,66
144,139
145,42
146,112
147,34
148,328
149,67
150,99
151,500
152,24
153,29
154,57
155,63
156,29
157,417
158,571
159,77
160,39
161,99
162,25
163,379
164,74
165,20
166,71
167,31
168,42
169,20
170,25
171,42
172,165
173,185
174,254
175,73
176,258
177,85
178,100
179,74
180,23
181,21
182,37
183,72
184,105
185,83
186,101
187,675
188,2202
189,73
190,55
191,27
192,49
193,27
194,132
195,47
196,95
197,192
198,165
199,29
200,40
201,89
202,54
203,339
204,285
205,39
206,143
207,89
208,540
209,107
210,75
211,97
212,203
213,212
214,81
215,222
216,67
217,22
218,132
219,82
220,129
221,21
222,25
223,210
224,101
225,36
226,273
227,30
228,850
229,41
230,35
231,36
232,147
233,27
234,35
235,63
236,24
237,255
238,467
239,596
240,630
241,72
242,485
243,41
244,87
245,595
246,42
247,41
248,87
249,41
250,74
251,52
252,136
253,53
254,108
255,74
256,38
257,30
258,209
259,59
260,178
261,78
262,36
263,57
264,32
265,2436
266,23
267,48
268,853
269,49
270,83
271,105
272,125
273,125
274,95
275,25
276,28
277,139
278,196
279,52
280,116
281,30
282,116
283,525
284,28
285,61
286,49
287,331
288,22
289,53
290,76
291,103
292,96
293,356
294,49
295,35
296,88
297,20
298,153
299,333
300,67
301,58
302,79
303,292
304,191
305,62
306,25
307,49
308,34
309,23
310,21
311,607
312,102
313,88
314,20
315,38
316,113
317,81
318,85
319,49
320,670
321,41
322,73
323,155
324,108
325,189
326,599
327,96
328,931
329,41
330,37
331,47
332,119
333,223
334,23
335,206
336,374
337,908
338,517
339,30
340,141
341,621
342,128
343,32
344,565
345,97
346,322
347,273
348,440
349,74
350,30
351,100
352,75
353,69
354,1262
355,389
356,53
357,20
358,222
359,59
360,1086
361,53
362,46
363,20
364,76
365,245
366,20
367,128
368,828
369,68
370,48
371,25
372,202
373,83
374,49
375,26
376,28
377,90
378,522
379,242
380,115
381,23
382,38
383,37
384,21
385,27
386,62
387,297
388,56
389,120
390,448
391,195
392,135
393,56
394,37
395,529
396,163
397,92
398,497
399,60
400,101
401,205
402,108
403,79
404,84
405,59
406,21
407,205
408,70
409,24
410,298
411,145
412,27
413,33
414,78
415,30
416,29
417,300
418,27
419,76
420,167
421,165
422,51
423,118
424,643
425,155
426,31
427,27
428,56
429,22
430,920
431,337
432,104
433,186
434,24
435,75
436,64
437,563
438,314
439,50
440,38
441,149
442,75
443,45
444,24
445,24
446,55
447,1096
448,92
449,103
450,125
451,77
452,34
453,111
454,165
455,37
456,81
457,288
458,73
459,190
460,217
461,48
462,28
463,23
464,20
465,29
466,214
467,37
468,262
469,50
470,41
471,22
472,186
473,137
474,37
475,104
476,51
477,37
478,891
479,397
480,116
481,409
482,109
483,321
484,42
485,54
486,126
487,51
488,56
489,145
490,91
491,46
492,20
493,28
494,28
495,232
496,30
497,30
498,173
499,23
500,62
501,35
502,41
503,340
504,495
505,115
506,39
507,23
508,127
509,64
510,40
511,399
512,35
513,64
514,111
515,25
516,162
517,37
518,24
519,32
520,128
521,119
522,53
523,20
524,41
525,244
526,57
527,1313
528,25
529,36
530,801
531,78
532,103
533,412
534,30
535,156
536,243
537,195
538,201
539,136
540,97
541,96
542,375
543,22
544,57
545,300
546,126
547,1030
548,50
549,83
550,357
551,809
552,24
553,51
554,20
555,36
556,373
557,143
558,36
559,35
560,413
561,62
562,52
563,39
564,287
565,586
566,29
567,301
568,190
569,164
570,21
571,78
572,102
573,28
574,164
575,45
576,36
577,121
578,54
579,39
580,144
581,31
582,69
583,184
584,21
585,31
586,35
587,710
588,1021
589,26
590,50
591,39
592,102
593,305
594,74
595,71
596,82
597,40
598,117
599,97
600,569
601,47
602,40
603,76
604,157
605,21
606,78
607,34
608,23
609,84
610,394
611,20
612,39
613,99
614,482
615,21
616,84
617,50
618,31
619,44
620,54
621,62
622,246
623,74
624,68
625,21
626,51
627,564
628,26
629,24
630,29
631,373
632,458
633,259
634,587
635,59
636,39
637,218
638,202
639,36
640,40
641,91
642,29
643,61
644,28
645,100
646,88
647,138
648,70
649,243
650,24
651,147
652,65
653,22
654,40
655,1376
656,101
657,48
658,175
659,30
660,57
661,1440
662,45
663,39
664,50
665,54
666,253
667,49
668,162
669,20
670,57
671,153
672,40
673,580
674,43
675,43
676,88
677,43
678,37
679,34
680,154
681,21
682,91
683,451
684,96
685,58
686,102
687,525
688,76
689,27
690,82
691,315
692,148
693,24
694,20
695,618
696,57
697,58
698,284
699,122
700,24
701,285
702,1113
703,61
704,225
705,155
706,58
707,470
708,100
709,164
710,35
711,708
712,199
713,205
714,75
715,38
716,110
717,184
718,21
719,41
720,24
721,231
722,430
723,99
724,209
725,225
726,76
727,20
728,35
729,62
730,30
731,29
732,27
733,329
734,21
735,53
736,139
737,480
738,126
739,33
740,100
741,80
742,35
743,173
744,147
745,451
746,143
747,20
748,129
749,145
750,230
751,53
752,21
753,28
754,68
755,23
756,61
757,460
758,29
759,71
760,20
761,23
762,214
763,165
764,70
765,80
766,95
767,27
768,120
769,56
770,82
771,29
772,21
773,39
774,29
775,72
776,94
777,36
778,292
779,81
780,116
781,86
782,24
783,21
784,439
785,141
786,38
787,22
788,21
789,21
790,29
791,53
792,30
793,22
794,34
795,31
796,100
797,23
798,666
799,20
800,25
801,28
802,96
803,393
804,45
805,68
806,21
807,120
808,20
809,22
810,828
811,140
812,26
813,41
814,49
815,481
816,118
817,54
818,21
819,24
820,105
821,79
822,68
823,26
824,67
825,47
826,25
827,288
828,29
829,83
830,106
831,398
832,28
833,537
834,36
835,58
836,93
837,56
838,267
839,38
840,98
841,164
842,21
843,72
844,20
845,136
846,127
847,211
848,462
849,35
850,69
851,41
852,54
853,32
854,356
855,50
856,128
857,121
858,275
859,32
860,65
861,174
862,108
863,313
864,542
865,340
866,256
867,41
868,184
869,108
870,26
871,24
872,111
873,28
874,97
875,248
876,20
877,28
878,121
879,42
880,126
881,308
882,53
883,44
884,413
885,23
886,567
887,443
888,41
889,66
890,377
891,32
892,29
893,214
894,131
895,56
896,110
897,24
898,117
899,20
900,101
901,60
902,100
903,49
904,26
905,424
906,30
907,30
908,31
909,1236
910,29
911,57
912,209
913,302
914,346
915,30
916,140
917,21
918,23
919,37
920,64
921,240
922,49
923,60
924,23
925,77
926,27
927,69
928,409
929,64
930,183
931,80
932,51
933,128
934,35
935,177
936,72
937,119
938,157
939,32
940,47
941,45
942,78
943,128
944,34
945,150
946,38
947,696
948,36
949,30
950,38
951,630
952,31
953,48
954,33
955,250
956,104
