userId,min_above_below,n_total
1,58,141
2,21,52
3,60,147
4,13,27
5,13,33
6,8,26
7,20,44
8,13,31
9,28,58
10,292,660
11,6,20
12,7,23
13,26,65
14,1,29
15,28,82
16,123,295
17,36,86
18,60,138
19,22,47
20,44,140
21,12,35
22,30,63
23,22,63
24,21,45
25,41,87
26,12,33
27,27,62
28,1257,2842
29,55,151
30,5,21
31,31,67
32,21,44
33,125,265
34,59,123
35,179,503
36,62,125
37,85,235
38,10,29
39,24,57
40,41,101
41,16,37
42,14,48
43,40,150
44,35,102
45,10,25
46,67,151
47,15,58
48,34,106
49,14,37
50,59,118
51,24,48
52,35,80
53,6,40
54,22,45
55,7,21
56,43,97
57,11,40
58,8,35
59,162,417
60,13,43
61,23,52
62,56,178
63,39,95
64,115,243
65,270,552
66,51,165
67,58,149
68,48,110
69,18,43
70,280,662
71,14,29
72,25,84
73,24,58
74,68,175
75,23,62
76,210,459
77,25,67
78,131,274
79,24,50
80,169,343
81,37,100
82,9,28
83,68,150
84,71,289
85,48,107
86,85,258
87,156,395
88,70,231
89,11,61
90,30,75
91,35,83
92,34,74
93,69,175
94,116,246
95,18,39
96,42,120
97,19,47
98,8,29
99,11,25
100,120,249
101,33,93
102,22,47
103,93,232
104,21,48
105,21,46
106,43,111
107,97,225
108,15,30
109,333,721
110,36,101
111,59,138
112,12,24
113,12,29
114,71,144
115,194,483
116,36,78
117,28,58
118,73,184
119,41,83
120,119,325
121,37,77
122,77,154
123,7,20
124,41,122
125,15,33
126,17,74
127,99,226
128,213,515
129,11,28
130,61,147
131,67,135
132,10,21
133,17,36
134,17,51
135,59,128
136,22,52
137,69,179
138,145,438
139,10,57
140,25,82
141,72,159
142,8,26
143,29,66
144,57,139
145,19,42
146,55,112
147,16,34
148,155,328
149,20,67
150,30,99
151,184,500
152,10,24
153,12,29
154,18,57
155,24,63
156,11,29
157,129,417
158,170,571
159,23,77
160,13,39
161,42,99
162,11,25
163,168,379
164,27,74
165,10,20
166,35,71
167,13,31
168,17,42
169,9,20
170,8,25
171,19,42
172,53,165
173,59,185
174,108,254
175,36,73
176,81,258
177,28,85
178,40,100
179,25,74
180,10,23
181,6,21
182,15,37
183,34,72
184,50,105
185,36,83
186,34,101
187,300,675
188,912,2202
189,24,73
190,23,55
191,7,27
192,21,49
193,7,27
194,59,132
195,21,47
196,35,95
197,73,192
198,81,165
199,14,29
200,15,40
201,44,89
202,25,54
203,167,339
204,121,285
205,11,39
206,47,143
207,43,89
208,245,540
209,45,107
210,27,75
211,33,97
212,64,203
213,49,212
214,39,81
215,99,222
216,24,67
217,7,22
218,46,132
219,33,82
220,37,129
221,6,21
222,7,25
223,96,210
224,48,101
225,10,36
226,74,273
227,14,30
228,287,850
229,17,41
230,11,35
231,12,36
232,44,147
233,10,27
234,11,35
235,18,63
236,9,24
237,108,255
238,233,467
239,261,596
240,299,630
241,30,72
242,210,485
243,18,41
244,26,87
245,186,595
246,13,42
247,11,41
248,43,87
249,20,41
250,27,74
251,25,52
252,55,136
253,18,53
254,43,108
255,27,74
256,13,38
257,12,30
258,103,209
259,17,59
260,73,178
261,38,78
262,16,36
263,24,57
264,14,32
265,912,2436
266,7,23
267,12,48
268,404,853
269,18,49
270,32,83
271,50,105
272,57,125
273,46,125
274,40,95
275,12,25
276,11,28
277,56,139
278,89,196
279,20,52
280,43,116
281,12,30
282,44,116
283,251,525
284,10,28
285,18,61
286,21,49
287,110,331
288,10,22
289,18,53
290,32,76
291,51,103
292,47,96
293,112,356
294,23,49
295,15,35
296,43,88
297,8,20
298,62,153
299,123,333
300,22,67
301,22,58
302,35,79
303,96,292
304,76,191
305,18,62
306,12,25
307,12,49
308,12,34
309,7,23
310,9,21
311,250,607
312,44,102
313,32,88
314,9,20
315,10,38
316,51,113
317,27,81
318,10,85
319,22,49
320,283,670
321,17,41
322,17,73
323,67,155
324,40,108
325,78,189
326,254,599
327,37,96
328,464,931
329,19,41
330,14,37
331,14,47
332,43,119
333,102,223
334,11,23
335,81,206
336,180,374
337,373,908
338,256,517
339,9,30
340,52,141
341,283,621
342,51,128
343,10,32
344,255,565
345,44,97
346,129,322
347,24,273
348,193,440
349,25,74
350,10,30
351,32,100
352,23,75
353,31,69
354,567,1262
355,185,389
356,17,53
357,10,20
358,89,222
359,21,59
360,540,1086
361,22,53
362,16,46
363,10,20
364,27,76
365,91,245
366,10,20
367,51,128
368,314,828
369,31,68
370,17,48
371,10,25
372,82,202
373,37,83
374,18,49
375,13,26
376,11,28
377,33,90
378,238,522
379,85,242
380,42,115
381,10,23
382,16,38
383,12,37
384,9,21
385,12,27
386,23,62
387,146,297
388,16,56
389,46,120
390,186,448
391,92,195
392,63,135
393,28,56
394,15,37
395,180,529
396,43,163
397,30,92
398,215,497
399,29,60
400,33,101
401,87,205
402,34,108
403,38,79
404,32,84
405,27,59
406,8,21
407,84,205
408,25,70
409,10,24
410,144,298
411,60,145
412,11,27
413,11,33
414,27,78
415,10,30
416,10,29
417,115,300
418,11,27
419,27,76
420,80,167
421,69,165
422,20,51
423,38,118
424,236,643
425,73,155
426,10,31
427,12,27
428,23,56
429,10,22
430,406,920
431,136,337
432,46,104
433,90,186
434,11,24
435,21,75
436,25,64
437,220,563
438,65,314
439,23,50
440,13,38
441,70,149
442,36,75
443,21,45
444,10,24
445,6,24
446,27,55
447,543,1096
448,38,92
449,48,103
450,60,125
451,32,77
452,13,34
453,39,111
454,75,165
455,16,37
456,26,81
457,115,288
458,30,73
459,74,190
460,79,217
461,17,48
462,9,28
463,8,23
464,2,20
465,11,29
466,87,214
467,16,37
468,119,262
469,19,50
470,15,41
471,5,22
472,64,186
473,57,137
474,12,37
475,37,104
476,22,51
477,16,37
478,395,891
479,187,397
480,55,116
481,137,409
482,34,109
483,78,321
484,18,42
485,16,54
486,59,126
487,22,51
488,22,56
489,65,145
490,36,91
491,23,46
492,9,20
493,11,28
494,14,28
495,80,232
496,14,30
497,7,30
498,66,173
499,8,23
500,23,62
501,13,35
502,19,41
503,151,340
504,212,495
505,42,115
506,15,39
507,9,23
508,48,127
509,20,64
510,10,40
511,153,399
512,7,35
513,21,64
514,47,111
515,10,25
516,66,162
517,18,37
518,6,24
519,13,32
520,54,128
521,54,119
522,20,53
523,6,20
524,19,41
525,83,244
526,25,57
527,647,1313
528,5,25
529,14,36
530,398,801
531,35,78
532,42,103
533,86,412
534,10,30
535,69,156
536,118,243
537,92,195
538,56,201
539,61,136
540,34,97
541,48,96
542,143,375
543,9,22
544,20,57
545,147,300
546,50,126
547,383,1030
548,20,50
549,34,83
550,144,357
551,291,809
552,9,24
553,24,51
554,8,20
555,18,36
556,120,373
557,70,143
558,12,36
559,11,35
560,163,413
561,31,62
562,25,52
563,13,39
564,113,287
565,245,586
566,9,29
567,142,301
568,80,190
569,75,164
570,9,21
571,32,78
572,49,102
573,11,28
574,81,164
575,21,45
576,15,36
577,42,121
578,13,54
579,14,39
580,40,144
581,13,31
582,20,69
583,84,184
584,8,21
585,12,31
586,12,35
587,320,710
588,473,1021
589,12,26
590,18,50
591,12,39
592,49,102
593,126,305
594,26,74
595,26,71
596,39,82
597,14,40
598,53,117
599,43,97
600,221,569
601,23,47
602,16,40
603,30,76
604,66,157
605,9,21
606,37,78
607,17,34
608,10,23
609,42,84
610,130,394
611,7,20
612,17,39
613,31,99
614,184,482
615,8,21
616,28,84
617,14,50
618,10,31
619,17,44
620,27,54
621,22,62
622,117,246
623,30,74
624,32,68
625,7,21
626,23,51
627,240,564
628,10,26
629,8,24
630,11,29
631,174,373
632,182,458
633,114,259
634,208,587
635,23,59
636,15,39
637,99,218
638,83,202
639,16,36
640,13,40
641,44,91
642,13,29
643,30,61
644,12,28
645,50,100
646,31,88
647,59,138
648,34,70
649,118,243
650,11,24
651,62,147
652,32,65
653,4,22
654,19,40
655,644,1376
656,36,101
657,15,48
658,47,175
659,6,30
660,22,57
661,597,1440
662,21,45
663,17,39
664,22,50
665,26,54
666,63,253
667,21,49
668,71,162
669,7,20
670,28,57
671,63,153
672,17,40
673,211,580
674,21,43
675,13,43
676,43,88
677,19,43
678,12,37
679,13,34
680,63,154
681,4,21
682,36,91
683,137,451
684,48,96
685,25,58
686,40,102
687,234,525
688,34,76
689,9,27
690,38,82
691,116,315
692,73,148
693,10,24
694,10,20
695,228,618
696,21,57
697,17,58
698,131,284
699,60,122
700,11,24
701,125,285
702,531,1113
703,19,61
704,88,225
705,37,155
706,24,58
707,165,470
708,34,100
709,70,164
710,17,35
711,313,708
712,90,199
713,81,205
714,28,75
715,18,38
716,52,110
717,92,184
718,8,21
719,18,41
720,9,24
721,96,231
722,211,430
723,41,99
724,30,209
725,96,225
726,38,76
727,6,20
728,14,35
729,31,62
730,10,30
731,13,29
732,9,27
733,164,329
734,9,21
735,18,53
736,67,139
737,231,480
738,43,126
739,12,33
740,46,100
741,28,80
742,17,35
743,81,173
744,59,147
745,105,451
746,69,143
747,7,20
748,34,129
749,68,145
750,92,230
751,24,53
752,10,21
753,6,28
754,33,68
755,10,23
756,19,61
757,196,460
758,14,29
759,33,71
760,9,20
761,11,23
762,82,214
763,50,165
764,18,70
765,37,80
766,39,95
767,8,27
768,36,120
769,26,56
770,40,82
771,10,29
772,8,21
773,16,39
774,10,29
775,22,72
776,29,94
777,7,36
778,115,292
779,29,81
780,42,116
781,26,86
782,11,24
783,9,21
784,213,439
785,55,141
786,16,38
787,11,22
788,9,21
789,9,21
790,13,29
791,15,53
792,12,30
793,11,22
794,16,34
795,10,31
796,43,100
797,5,23
798,282,666
799,8,20
800,11,25
801,12,28
802,35,96
803,143,393
804,19,45
805,27,68
806,9,21
807,52,120
808,9,20
809,9,22
810,313,828
811,44,140
812,7,26
