movieId,n_ratings
1,68997
2,28904
3,13134
4,2806
5,13154
6,29490
7,13585
8,1510
9,4154
10,32474
11,19127
12,4258
13,2107
14,6116
15,3099
16,22298
17,22251
18,6191
19,24849
20,4306
21,24829
22,10317
23,4717
24,8293
25,22525
26,2802
27,1802
28,3310
29,9413
30,1300
31,10223
32,55275
33,67
34,35969
35,1497
36,21759
37,85
38,750
39,30616
40,880
41,4760
42,2568
43,2572
44,12261
45,9306
46,3179
47,63298
48,15667
49,263
50,67750
51,30
52,9518
53,159
54,1057
55,944
56,74
57,2451
58,11659
59,194
60,6708
61,2327
62,20596
63,2696
64,2076
65,5248
66,2415
67,179
68,1241
69,5039
70,16824
71,1341
72,1378
73,2982
74,3565
75,590
76,3609
77,221
78,1258
79,5614
80,595
81,3311
82,2555
83,589
84,158
85,2703
86,4374
87,1076
88,5419
89,3451
90,218
92,2360
93,2130
94,4186
95,23156
96,487
97,3509
98,92
99,732
100,4154
101,5211
102,2025
103,1154
104,22963
105,10131
106,137
107,6782
108,123
109,16
110,69482
111,36647
112,12308
113,1099
114,248
115,50
116,967
117,1261
118,1132
119,259
120,155
121,846
122,3958
123,3534
124,330
125,3625
126,1482
127,50
128,78
129,193
130,47
131,192
132,2178
133,20
134,39
135,6619
136,102
137,218
138,142
139,41
140,5049
141,23546
142,41
143,15
144,4517
145,15155
146,607
147,4866
148,371
149,1129
150,55940
151,12868
152,716
153,35288
154,3382
155,1289
156,1679
157,2705
158,14395
159,2463
160,15511
161,25270
162,6363
163,16327
164,4541
165,38488
166,800
167,79
168,12664
169,3514
170,8841
171,1428
172,13788
173,16833
174,2186
175,5468
176,2497
177,2399
178,504
179,1243
180,9714
181,2924
182,695
183,627
184,348
185,25669
186,11491
187,975
188,2656
189,332
190,1169
191,1759
192,78
193,8144
194,6060
195,3250
196,14662
197,110
198,9747
199,1837
200,346
201,367
202,480
203,5635
204,8795
205,1343
206,1028
207,5608
208,31329
209,755
210,500
211,590
212,487
213,1994
214,1000
215,8476
216,10728
217,1038
218,4264
219,678
220,352
222,5936
223,27906
224,8731
225,12836
226,44
227,4689
228,478
229,2532
230,7528
231,36802
232,6295
233,3607
234,3255
235,17428
236,12617
237,6442
238,855
239,4070
240,847
241,592
242,1108
243,470
244,306
245,265
246,10852
247,8030
248,3164
249,5045
250,1105
251,400
252,10334
253,31756
254,632
255,1070
256,10683
257,3975
258,1807
259,2057
260,85010
261,10899
262,4507
263,406
264,195
265,12026
266,17820
267,4334
268,749
269,606
270,1308
271,1271
272,7935
273,7626
274,1296
275,1611
276,5487
277,9590
278,1135
279,923
280,5164
281,3997
282,11523
283,240
284,34
285,84
286,111
287,326
288,26472
289,3301
290,4199
292,27883
293,41846
294,846
295,467
296,98409
297,264
298,257
299,2632
300,21085
301,464
302,1645
303,7435
304,724
305,3426
306,8183
307,7741
308,5896
309,452
310,258
311,82
312,1325
313,1494
314,4179
315,11413
316,35215
317,17903
318,102929
319,7586
320,323
321,932
322,3109
324,489
325,1059
326,1497
327,7533
328,2594
329,27773
330,1584
331,552
332,2301
333,12644
334,1645
335,409
336,294
337,19510
338,4843
339,24940
340,1499
341,406
342,11920
343,943
344,42728
345,10642
346,1160
347,1807
348,8210
349,31300
350,16467
351,3704
352,1377
353,18497
354,1264
355,10815
356,100296
357,30312
358,2335
359,275
360,2141
361,5425
362,7782
363,645
364,51518
365,1898
366,3065
367,40007
368,18685
369,1120
370,15893
371,4305
372,8367
373,3660
374,5703
375,254
376,11536
377,47210
378,2336
379,6142
380,47148
381,4970
382,5679
383,5234
384,762
385,127
386,377
387,723
388,546
389,205
390,970
391,426
392,285
393,2611
394,148
395,13
396,37
397,100
398,58
399,10
400,29
401,18
402,59
403,15
404,80
405,3708
406,67
407,2516
408,680
409,485
410,20166
411,123
412,4809
413,6514
414,930
415,3231
416,1799
417,3314
418,690
419,4680
420,15601
421,1832
422,1446
423,2447
424,803
425,880
426,3389
427,3421
428,5543
429,1552
430,265
431,10266
432,13005
433,1252
434,25769
435,14828
436,1338
437,1856
438,1088
439,59
440,19992
441,9667
442,20850
443,597
444,1342
445,1928
446,3887
447,227
448,3097
449,704
450,3059
451,639
452,1188
453,988
454,27224
455,9387
456,1016
457,57073
458,1081
459,1182
460,943
461,908
462,209
463,428
464,3441
465,757
466,14637
467,748
468,7444
469,1349
470,472
471,12016
472,726
473,1449
474,20399
475,9723
476,231
477,4545
478,283
479,1293
480,75233
481,5568
482,2769
483,618
484,788
485,15028
486,638
487,642
488,585
489,3076
490,3292
491,5538
492,3488
493,3973
494,12663
495,810
496,425
497,14593
498,389
499,410
500,39296
501,2363
502,3889
503,142
504,1218
505,1367
506,1503
507,3565
508,22912
509,17960
510,940
511,1688
512,1309
513,598
514,4795
515,11206
516,3507
517,3738
518,1260
519,5284
520,16363
521,2212
522,1420
523,933
524,8155
525,179
526,138
527,73849
528,932
529,11176
530,37
531,7845
532,6200
533,4103
534,4908
535,5818
536,767
537,3440
538,5205
539,32129
540,5074
541,46289
542,3722
543,12764
544,2320
546,6169
547,871
548,2904
549,1453
550,3378
551,26081
552,13547
553,16211
554,514
555,17743
556,1288
558,1759
559,55
560,39
561,225
562,6559
563,358
564,363
565,1016
566,154
567,451
568,391
569,1727
570,232
571,200
572,36
573,211
574,1416
575,3035
576,25
577,671
579,41
580,569
581,1938
582,135
583,293
584,27
585,9903
586,34648
587,32382
588,50442
589,68383
590,46771
591,34
592,49789
593,90330
594,20567
595,41342
596,14721
597,39189
598,168
599,3824
600,313
601,113
602,334
603,618
604,6
605,3685
606,1569
607,20
608,58031
609,2590
610,8208
611,1951
612,1649
613,2494
614,162
615,632
616,9559
617,573
618,364
619,723
620,47
621,334
623,35
625,30
626,646
627,1931
628,12797
629,26
630,221
631,2323
632,424
633,328
634,354
635,1121
636,38
637,5960
638,586
639,1157
640,3165
641,109
642,10
643,23
644,15
645,315
647,8207
648,42879
649,138
650,1360
651,45
652,83
653,15471
654,16
655,20
656,1246
657,42
658,49
659,562
660,119
661,11317
662,3037
663,3384
664,322
665,1499
666,198
667,1089
668,1074
670,879
671,6524
672,27
673,12859
674,3642
675,29
676,28
678,2739
679,99
680,1389
681,381
682,67
683,36
684,26
685,539
687,98
688,3030
690,84
691,1231
692,931
693,30
694,2815
695,848
696,128
697,1159
698,153
699,17
700,1273
701,116
702,498
703,363
704,1890
705,433
706,253
707,4672
708,15472
709,3214
710,1287
711,2212
712,190
713,137
714,4642
715,626
716,319
717,95
718,1248
719,8003
720,8612
721,18
722,349
723,39
724,9590
725,1591
726,543
727,24
728,3555
729,144
730,70
731,867
732,237
733,37001
734,60
735,1301
736,35315
737,4695
738,25
739,11
741,10719
742,2105
743,6511
744,37
745,13944
746,357
747,1111
748,5607
749,41
750,32830
751,178
752,41
753,514
754,384
755,155
756,114
757,317
758,27
759,366
760,1058
761,3961
762,10004
763,61
764,606
765,5395
766,1821
767,301
768,34
769,135
770,27
771,155
772,35
773,79
774,35
775,174
776,47
777,32
778,35303
779,519
780,57224
781,2143
782,2945
783,12497
784,16699
785,11611
786,17341
787,91
788,22021
789,52
790,108
791,113
792,48
793,116
794,104
795,107
796,46
797,115
798,3411
799,6670
800,7322
801,1750
802,14093
803,606
804,2276
805,12809
806,567
807,224
808,830
809,1422
810,2085
812,37
813,499
814,12
815,29
816,74
818,2962
819,58
820,71
821,46
822,35
823,180
824,393
825,24
826,24
827,164
828,1574
829,1937
830,6921
831,224
832,15696
833,1507
834,205
835,989
836,5197
837,7130
838,8314
839,4156
840,708
841,872
842,2123
843,57
844,167
845,71
846,414
847,114
848,2081
849,8850
850,273
851,1730
852,10937
853,112
854,241
855,36
856,56
857,47
858,66440
859,15
860,369
861,2707
862,365
864,88
865,100
866,6640
867,345
868,91
869,577
870,492
871,59
872,99
873,42
874,74
875,525
876,314
877,168
878,28
879,2380
880,5641
881,1183
882,839
884,53
885,653
886,1855
887,38
889,121
890,30
891,2211
892,1406
893,590
894,37
895,59
896,508
897,904
898,7445
899,12913
900,3332
901,1830
902,11835
903,19529
904,24883
905,5074
906,2475
907,950
908,20093
909,6921
910,13608
911,5117
912,32190
913,14190
914,11077
915,5858
916,7573
917,1146
918,2118
919,29260
920,16824
921,2487
922,9072
923,22920
924,35934
925,96
926,6068
927,979
928,5879
929,1121
930,5962
931,2628
932,2380
933,5728
934,3977
935,702
936,1601
937,580
938,1823
939,115
940,4299
941,1009
942,3235
943,1846
944,1137
945,2308
946,1730
947,2097
948,1861
949,2436
950,3837
951,4897
952,2595
953,18374
954,6583
955,5210
956,391
957,239
958,106
959,429
960,173
961,262
962,110
963,562
964,362
965,4207
966,136
967,178
968,9474
969,11693
970,436
971,3339
972,126
973,1036
974,145
975,30
976,467
977,10
979,43
980,144
981,217
982,608
983,21
984,238
985,55
986,2969
987,293
988,542
989,78
990,993
991,2647
992,275
993,243
994,5457
996,3480
997,223
998,879
999,3200
1000,233
1001,36
1002,143
1003,1666
1004,1658
1005,2227
1006,1562
1007,1872
1008,825
1009,2725
1010,2699
1011,1606
1012,3591
1013,4772
1014,1749
